index,image,question,reference_answer,model_answer,type,source
16,data/clip_images/花1.png,"这是什么？",*花*,"这是一朵**黑心菊**（学名：*Rudbeckia hirta*），也常被称为**金光菊**或**向日葵状的野花**。  ### 特点： - **花色**：花瓣为明亮的黄色，中心是深紫色或褐色的花盘。 - **形态**：花瓣呈放射状排列，形似向日葵，但花心颜色更深，更显对比。 - **常见于**：北美地区，常在田野、路边或花园中自然生长，也常被用作观赏植物。 - **花语**",object,real
17,data/clip_images/zhuozi1.png,"这是什么？",*桌子*,"这是一张**木制矮桌**，也常被称为**茶几**或**榻榻米桌**，常见于日式或中式传统家居环境中。  从图片中可以看出：  - **材质**：桌面和桌腿均为浅色木材，可能是松木、杉木或橡木等常见家具用材。 - **结构**：桌面平整，四角有轻微收边处理；四条桌腿呈直角支撑，底部有托板或横梁加固结构，增强稳定性。 - **风格**：设计简洁、实用，没有过多装饰，符合传统日式或中式家具",object,real
18,data/clip_images/zhuozi上下两个.png,"有几个物体",*两个*,"图中显示了 **2** 个物体。  它们是两个相同的木制桌子，一个位于上半部分，一个位于下半部分。虽然它们在视觉上是相同的，但因为分别处于不同的位置（上下排列），所以被算作两个独立的物体。  ✅ 答案：**2**",count,real
19,data/clip_images/花2.png,"这是什么？",*花*,"这是一朵盛开的**荷花**（学名：*Nelumbo nucifera*），也叫**莲花**。  从图中可以观察到：  - **花瓣**：粉红色，层层叠叠，优雅绽放，边缘略带卷曲。 - **花蕊**：中心部分隐约可见，尚未完全展开。 - **背景**：深绿色的荷叶和模糊的水面，营造出宁静、自然的氛围。 - **花茎**：细长的绿色花梗支撑着花朵。  荷花是**水生植物**，常生长在池塘、湖泊或河流中",object,real
20,data/clip_images/路牌.png,"这是什么？",*路牌*,"这张图片展示的是一个**反向文字的路牌**，上面的文字是**倒着写的**，看起来像是“NITSLOR”、“TITINICAL”、“PALOISTRIEN”和“NSONLLN”——这些词实际上是**倒着排列的英文单词**。  ### 你看到的是什么？  - **倒置文字**：每个路牌上的文字都是从右到左、从下到上倒着写的，所以正常读起来是“反向”或“镜像”效果。 - **真实含义**：这些倒着的文字其实是**正向单词",object,real
21,data/clip_images/路牌左右两个.png,"左边是什么？右边是什么？",*左边是路牌，右边也是路牌*,"左边是“恒通路”路牌，右边是“恒通交通”路牌。  从图片内容看：  - 左边路牌：绿色背景，白色字体，标示“恒通路”，下方有英文“HENG TONG LU”，并标注了方向“E”（东）和“W”（西）。 - 右边路牌：绿色背景，白色字体，标示“恒通交通”，下方有英文“HENG TONG JIAO TONG”，并标注了方向“S”（南）和“N”（北）。  这两个路牌",spatial,real
22,data/clip_images/路牌左右两个.png,"有几个物体",*两个*,"图中显示了 **2个** 相似的路牌（或称“路名牌”），它们并排展示，分别位于图像的左右两侧。  每个路牌都包含： - 一个金属立柱 - 一个长方形的标牌（绿色背景，白色文字） - 标牌上写有中文路名和英文路名 - 标牌下方有方向指示（如 E、W、S、N）  虽然它们在内容上略有不同（左侧是“恒通路”，右侧是“恒通交通”），但它们是两个独立的物体，且在图像",count,real
23,data/clip_images/狗1.png,"有几个物体",*一个*,"这张图片中主要有一个物体：一只小狗。  虽然从视觉上可能看到背景或模糊的线条，但这些属于环境背景，不是独立的“物体”。在图像中，唯一的主体是这只可爱的小狗，它有棕色和白色的毛发、大大的黑眼睛和小小的鼻子。  因此，**只有一个物体** —— 小狗。  ✅ 答案：1个物体",count,real
24,data/clip_images/狗2.png,"有几个物体",*一个*,"根据图片内容，可以识别出以下物体：  1. 一只白色的比熊犬（或类似品种的犬）——这是画面的主体。 2. 一条蓝色的领巾/项圈，上面有黄色的圆点图案，戴在狗狗脖子上。  因此，图片中共有 **2个物体**。  （注：背景是纯色的，没有其他可识别的独立物体。）",count,real
25,data/clip_images/狗3.png,"有几个物体",*一个*,"根据图像内容，可以识别出以下物体：  1. 一只哈士奇犬（主体） 2. 一个黑色的项圈（戴在狗脖子上） 3. 背景中的白色小花（散落在草地上） 4. 背景中的绿色植物/草地 5. 背景中的树木或灌木（模糊的深色区域）  虽然背景中存在多个元素，但若按“独立可辨识物体”计数，最清晰、最突出的是：  ✅ **1只狗** ✅ **1个项圈** ✅ **若干朵小花",count,real
26,data/clip_images/猫1.png,"有几个物体",*一个*,"图中包含 **2** 个物体：  1. 一只虎斑猫（主体） 2. 一个黑色圆形图标（右上角，类似相机或镜头符号）  ✅ 答案：**2** 个物体",count,real
27,data/clip_images/路牌左右两个.png,"左边是什么？",*路牌*,"左边是“恒通路”的路牌。  从图片中可以看到： - 左边的路牌是蓝色背景，白色字体，上面写着“恒通路”。 - 路牌下方有英文“HENG TONG LU”，并标有方向指示：东（E）和西（W）。 - 这是道路名称“恒通路”的指示牌，用于指引方向。  因此，左边是“恒通路”路牌。",spatial,real
28,data/clip_images/路牌左右两个.png,"右边是什么？",*路牌*,"右边是“恒通交通”路牌。  它是一个绿色背景、白色字样的道路指示牌，上面标有“恒通交通”和英文“HENGTON JIAOTONG”，并用方向箭头标明了东西南北四个方向（S、N、E、W），用于指示该道路的名称和方向。这通常用于交通指引，帮助驾驶员或行人了解所在道路及方向。",spatial,real
29,data/clip_images/zhuozi上下两个.png,"上面是什么",*桌子*,"上面是**一张木制桌子的插图或示意图**，具体来说：  - **物体**：一张长方形的木桌，有四条直腿支撑。 - **风格**：简约、现代，可能是用于设计、电商或家居展示的平面图。 - **呈现方式**：图片分为上下两部分，上方是桌子的**正面图**（或俯视图），下方是桌子的**侧面图**（或立体图），用于展示不同角度的结构。 - **背景**：白色背景，突出桌子本身，常见于产品图或插画素材。  图片中间有",spatial,real
30,data/clip_images/zhuozi上下两个.png,"下面是什么",*桌子*,"下面是一张**木制长方形桌子**的图片。  这张图片展示了同一张桌子的两个不同视角或版本：  - 上方图片：桌子以俯视角度展示，背景为白色，桌子有四条直腿，桌面为浅棕色木纹。 - 下方图片：桌子以侧视角度展示，更清晰地呈现了桌子的立体结构和腿的支撑方式。  图片中间有“包图网”的水印，说明该图片可能来源于该素材网站。  **总结**：这是一个**简约风格的木制餐桌或办公桌**的插图或设计图。",spatial,real
31,data/clip_images/数量2.png,"有几个笔记本电脑",*一个*,"图中只有 **1** 个笔记本电脑。  它是一台银色的笔记本电脑，屏幕关闭，放在木质桌面上，旁边有鼠标、咖啡杯和文件。没有其他笔记本电脑。",count,real
32,data/clip_images/数量2.png,"有几个杯子",*一个*,"图片中有一个杯子。  它是一个白色的陶瓷马克杯，放在木桌上，里面盛有深色液体（看起来像咖啡）。  所以，答案是：**1个杯子**。",count,real
33,data/clip_images/数量2.png,"有几个鼠标",*一个*,"图片中有一个鼠标。  它是一个白色的无线鼠标，放在笔记本电脑右侧的木桌上，靠近咖啡杯。  ✅ 答案：**1个**",count,real
34,data/clip_images/数量1.png,"有几个杯子",*两个*,"图片中有 **2个杯子**。  - 一个浅棕色的杯子，位于画面中央偏左。 - 一个深棕色（或深色）的杯子，位于浅棕色杯子的右侧。  此外，图片中还有一个玻璃电热水壶，但不是杯子。所以，杯子总数是 **2个**。",count,real
35,data/clip_images/数量1.png,"有几个水壶",*一个*,"图片中有一个水壶。  它是一个透明玻璃材质的电热水壶，放在木制茶几上，旁边有杯子和遥控器。从画面中可以清晰看到只有一个水壶。",count,real
36,data/clip_images/数量1.png,"有几本书",*两个*,"根据图片内容，桌面上有一份杂志，它被摊开在木桌上，封面可见“NONO”字样。这通常被视为一份杂志，而不是多本书。  因此，图片中**有1本杂志**（或可视为1份出版物）。  **答案：1本**",count,real
37,data/clip_images/数量1.png,"有几个遥控器",*一个*,"图片中有一个遥控器。它位于木质茶几上，放在杂志和两个杯子之间，黑色的，形状为长条形。",count,real
38,data/clip_images/文字识别1.png,"有几行字",*五行*,"这张图片中有 **5行** 字：  1. 访客须知   2. 请先登记   3. 请佩戴访客证   4. 请勿进入办公区   5. 离开时归还证件    （注：虽然“访客须知”是标题，但按字数分行计数，它仍算作一行。）  ✅ **答案：5行**",count,real
39,data/clip_images/文字识别1.png,"有几个字",*二十八个字*,"这张图片中的文字共有 **18个字**。  我们来逐行数一下：  1. **访客须知** —— 4个字   2. **请先登记** —— 4个字   3. **请佩戴访客证** —— 6个字   4. **请勿进入办公区** —— 6个字   5. **离开时归还证件** —— 6个字    总字数：4 + 4 + 6 + 6 + 6 = **26个字**  ⚠️ 注意：上面我误算",count,real
40,data/clip_images/文字识别1.png,"文字内容是什么",*访客须知 请先登记 请佩戴访客证 请勿进入办公区 离开时请归还证件*,"访客须知  请先登记 请佩戴访客证 请勿进入办公区 离开时归还证件",ocr,real
41,data/clip_images/文字识别1.png,"标题是什么",*访客须知*,"标题是：**访客须知**",ocr,real
42,data/clip_images/数量.png,"有多少可乐",*一瓶*,"图中只有 **1** 罐可乐。  它位于最上层的架子中央，是红色的可口可乐（Coca-Cola）易拉罐。其他物品包括牛奶、薯片、饼干和纸巾，但没有其他可乐。",count,real
43,data/clip_images/数量.png,"有多少牛奶",*一瓶*,"图片中有一盒牛奶。  它位于第二层架子上，是一个蓝色的纸盒，上面印有“MILK”字样和奶滴图案。  **答案：1盒牛奶**",count,real
44,data/clip_images/数量.png,"有多少薯片",*一袋*,"图片中有 **1** 包薯片。  具体来说，是 **Baugos** 品牌的薯片，位于货架的最下层，包装为绿色，里面装有三角形薯片。旁边是饼干和纸巾，但只有这一包薯片。",count,real
45,data/clip_images/数量.png,"有多少纸巾",*一卷*,"图中可以看到 **2卷** 纸巾。  它们位于最底层的左侧，一卷是白色的，另一卷是浅灰色的，都放在货架上。",count,real
46,data/clip_images/数量.png,"有多少饼干",*一包*,"图片中有一盒饼干，是 **Cakets** 品牌的。从包装上可以看到，这盒饼干里有 **6 块饼干**（包装盒上显示为 6 块）。  所以，答案是：**6 块饼干**。",count,real
47,data/clip_images/数量.png,"最上面是什么",*可乐*,"最上面是**可口可乐（Coca-Cola）**。  从图片中可以看到，货架从上到下依次是：  1. **最上面一层**：一罐红色的可口可乐。 2. 第二层：一盒牛奶。 3. 第三层：一包百吉饼（Bagos）和一盒饼干（Cakets）。 4. 最下面一层：两卷纸巾。  因此，最上面的物品是**可口可乐**。",spatial,real
48,data/clip_images/数量.png,"中间是什么",*牛奶*,"中间是**牛奶**。  从图片中可以看到，货架从上到下依次是：  - 上层：一罐可口可乐（Coca-Cola） - 中层：一盒牛奶（MILK，包装上有“MILK”字样和奶滴图案） - 下层：一包薯片（Baugos）、一盒饼干（Cakets）和两卷纸巾  因此，位于中间的物品是**牛奶**。",spatial,real
49,data/clip_images/数量.png,"最下面一层有什么",*薯片和纸巾还有饼干*,"最下面一层有：  - 两卷白色的纸巾（左侧） - 一包绿色包装的“Baugos”薯片（中间） - 一盒黄色包装的“Cakets”饼干（右侧）  这些物品整齐地摆放在最底层的货架上。",spatial,real
50,data/clip_images/数量.png,"饼干包装是什么颜色",*黄色*,"饼干包装是**黄色**的。  从图片中可以看到，右下角的饼干盒（Cakets）包装盒整体为鲜艳的黄色，上面印有品牌名“Cakets”和饼干的图案。",color_shape,real
51,data/clip_images/文字识别2.png,"文字内容是什么",*晨光文具 打印复印装订 营业时间09：00-21：00*,"晨光文具 复印 打印 装订 营业时间 09:00-21:00",ocr,synthetic
52,data/clip_images/文字识别2.png,"文字颜色是什么",*红色*,"图片中的文字颜色是**红色**。  招牌上的“晨光文具”、“复印 打印 装订”以及“营业时间 09:00-21:00”均使用了鲜艳的红色字体，与白色的背景形成鲜明对比，便于识别。",color_shape,synthetic
53,data/clip_images/文字识别2.png,"告示牌背景色是什么",*白色*,"告示牌的背景色是**白色**。  从图片中可以清晰看到，告示牌的底色为纯白色，上面用红色字体写着“晨光文具”、“复印 打印 装订”和“营业时间 09:00-21:00”，文字与背景形成鲜明对比，便于阅读。",color_shape,synthetic
54,data/clip_images/路牌4.png,"中间是什么",*路牌*,"这个蓝色路牌中间是一个**白色箭头**，指向右方，表示“右转200米”。  ---  ### 路牌内容解析：  - **上方文字**：**人民南路** —— 表示当前所在道路名称。 - **中间文字**：**中山路** —— 表示前方将要交汇或转向的道路。 - **箭头符号**：**向右的箭头** —— 指示“右转200米”。 - **右侧文字**：**向前500米** —— 指示直行5",spatial,real
55,data/clip_images/文字识别2.png,"路牌是什么颜色",*蓝色*,"这个路牌（或招牌）的背景是**白色**，上面的文字是**红色**的。  具体来说：  - **招牌底色**：白色（方形，带边框） - **文字颜色**：红色（“晨光文具”、“复印 打印 装订”、“营业时间 09:00-21:00”） - **边框**：招牌四周有浅灰色或米白色的边框，可能为金属或塑料材质  虽然它不是传统意义上的“路牌”（路牌通常指道路指示牌，如“前方30",color_shape,synthetic
56,data/clip_images/文字识别2.png,"现在在哪条路",*人民南路*,"根据您提供的图片，**无法确定具体在哪条路**。  图片中只显示了一个“晨光文具”的招牌，上面写着“复印 打印 装订”和“营业时间 09:00-21:00”，背景是玻璃门和街道，但**没有出现任何路名、街道标识、公交站牌或明显的地标**，也没有任何文字或符号能直接指向某条具体道路名称。  要确定具体位置，需要：  - 看招牌下方或旁边是否有路牌或门牌号； - 使用地图App（如高德、",ocr,synthetic
57,data/clip_images/文字识别2.png,"有几个路牌",*一个*,"根据图片内容，图中只有一个路牌（或招牌），即“晨光文具”的白色方形招牌，上面有红色的店名、服务项目和营业时间。  因此，答案是：**1个路牌**。  （注：虽然“路牌”通常指指示道路的标志牌，但在此语境下，它可能泛指“招牌”或“广告牌”。如果严格按“路牌”定义，图中无路牌，但根据上下文和常见用法，此处应理解为“招牌”。）",count,synthetic
58,data/clip_images/文字识别5.png,"这是干什么的",*教做番茄炒蛋的*,"这张图片展示的是一份**手写菜谱**，内容是“番茄炒蛋”的制作步骤。  具体信息如下：  - **菜名**：番茄炒蛋 - **步骤**：   1. 番茄切块   2. 鸡蛋打散   3. 热油下锅   4. 加盐调味 - **用时**：10分钟  这是一份**简易家常菜的烹饪指南**，适合家庭快速制作，步骤简单、用时短，非常适合忙碌时快速解决一餐。  图片左",ocr,synthetic
59,data/clip_images/文字识别5.png,"上面写要用时多久",*十分钟*,"上面写的是“用时10分钟”。",ocr,synthetic
60,data/clip_images/文字识别5.png,"一共有几个步骤",*四个步骤*,"根据图片中的手写清单，制作“番茄炒蛋”的步骤如下：  1. 番茄切块   2. 鸡蛋打散   3. 热油下锅   4. 加盐调味    **一共有 4 个步骤。**  （备注：虽然清单末尾写着“用时10分钟”，但这不是步骤，而是烹饪时间。）",count,synthetic
61,data/clip_images/文字识别5.png,"第一步是干什么",*番茄切块*,"根据图片中的步骤清单，第一步是：  **1. 番茄切块**  这是制作“番茄炒蛋”的第一个操作步骤。",ocr,synthetic
62,data/clip_images/文字识别5.png,"第二步是干什么",*鸡蛋打散*,"根据图片中的手写菜谱，第二步是：  **2. 鸡蛋打散**  这是在“番茄切块”之后、下锅炒之前的关键步骤，即将鸡蛋打散备用，以便后续与番茄一起炒制。",ocr,synthetic
63,data/clip_images/文字识别5.png,"第三步是干什么",*热油下锅*,"根据图片中的手写菜谱，第三步是：  **3. 热油下锅**  这是指在锅中加热食用油，为后续炒制番茄和鸡蛋做好准备。",ocr,synthetic
64,data/clip_images/文字识别5.png,"第四步是干什么",*加盐调味*,"根据图片中的手写菜谱，第四步是：  **4. 加盐调味**  这是在热油下锅炒制后，加入盐进行调味的步骤。",ocr,synthetic
65,data/clip_images/物体识别1.png,"图片主体是什么",*杯子*,"图片主体是一个红色的马克杯（或称搪瓷杯）。  它具有以下特征： - **颜色**：鲜艳的红色，杯口边缘有一圈深色（可能是黑色或深棕色）的镶边。 - **材质**：从光泽和质感来看，很可能是搪瓷或类似陶瓷的材质，表面光滑。 - **造型**：经典的圆柱形杯身，带有一个C形的把手。 - **背景**：放置在浅灰色的平面上，背景简洁，为纯白色或浅灰色，突出了杯子本身。 - **水印**：杯子表面有“",edge,synthetic
66,data/clip_images/物体识别1.png,"图片主体是什么颜色",*红色*,"图片主体是一个杯子，其主要颜色是**红色**。  具体来说： - 杯身整体呈现鲜艳的红色。 - 杯口边缘有一圈深色（可能是黑色或深棕色）的镶边，与红色形成对比。 - 杯柄也是红色，与杯身颜色一致。 - 杯子表面有“COPY SAMPLE”水印，但不影响对主体颜色的判断。  因此，图片主体的颜色是**红色**。",color_shape,synthetic
67,data/clip_images/物体识别2.png,"图片主体是什么",*书包*,"图片主体是一个蓝色的双肩背包。  它具有以下特征： - 主体颜色为鲜艳的蓝色。 - 背包正面有一个较大的前袋，带有拉链。 - 背包正面和侧面都印有“URBAN HOVE”品牌标志，标志是一个黄色的圆形图案。 - 背包配有两条肩带和顶部提手。 - 从设计和风格来看，它是一款现代简约风格的日常背包或学生背包。 - 背包放置在纯白色背景上，右侧投射出清晰的阴影，是典型的商品摄影布光。  因此",edge,real
68,data/clip_images/物体识别2.png,"图片主体是什么颜色",*蓝色*,"图片主体是**蓝色**。  这个背包整体呈现出鲜明的蓝色，从包身到肩带和底部都统一为这种颜色。在包的正面和侧面还带有黄色和白色的圆形标志，但主体颜色毫无疑问是蓝色。",color_shape,real
69,data/clip_images/物体识别3.png,"图片主体是什么",*杯子*,"图片的主体是一个**白色的陶瓷碗**，它被放置在浅色木纹桌面上。  此外，图片中还包含以下元素： - 一张**透明的塑料薄膜**（可能用于食品包装或防污）。 - 一张**打印的收据**（上面有文字和数字，可能是消费凭证）。  这些物品共同构成了一个简洁、现代的静物构图，可能用于展示日常用品、餐饮场景或摄影中的“极简主义”风格。但最突出、最核心的主体是那个**白色的碗**。",edge,synthetic
70,data/clip_images/物体识别3.png,"图片主体是什么颜色",*白色*,"图片主体是**白色**。  图片中主要物体包括： - 一个白色的陶瓷碗； - 一张白色的收据； - 一张透明的塑料薄膜（半透明，但视觉上属于白色系）；  这些物体都放置在浅棕色的木质桌面上。虽然背景和桌面是暖色调，但画面的视觉焦点和主体颜色是**白色**，尤其碗和收据最为突出。  因此，图片主体颜色是**白色**。",color_shape,synthetic
71,data/clip_images/物体识别1.png,"有几个杯子",*一个*,"图片中只有一个杯子。  它是一个红色的陶瓷或搪瓷杯，带有黑色的杯口边缘和把手，放置在浅灰色的平面上，背景简洁。没有其他杯子出现。",count,synthetic
72,data/clip_images/物体识别2.png,"有几个书包",*一个*,"图片中只有一个书包。  它是一个蓝色的双肩背包，正面有“URBAN HOVE”的品牌标识和一个圆形图案，下方还有一个小贴纸，整体设计简洁现代。背景是纯白色，没有其他书包。",count,synthetic
73,data/clip_images/物体识别3.png,"有几个杯子",*一个*,"图片中只有一个杯子。  它是一个白色的陶瓷碗（常被误称为“杯子”），放在木质桌面上，旁边还有一张收据和一张透明的塑料膜。虽然场景中有多个物品，但杯子只有**一个**。  ✅ 答案：**1个杯子**",count,synthetic
74,data/clip_images/kongjian.png,"上面的是什么",*洗衣机*,"上面的是**洗衣机烘干机组合**，具体来说：  - **上方是烘干机**：用于烘干衣物，通常带有透明的圆形门，可以看到内部滚筒。 - **下方是洗衣机**：用于洗涤衣物，同样带有透明门，内部是滚筒结构。  这种上下叠放的设计节省空间，常用于小户型或紧凑型住宅，一机完成洗涤和烘干功能，非常实用。  此外，从图片中还可以看到： - 旁边有洗衣液瓶和一个藤编洗衣篮。 - 墙上挂着一个布质收纳袋，用于收纳清洁用品或小件物品",spatial,synthetic
75,data/clip_images/kongjian.png,"下面的是什么",*洗衣机*,"这是一组**叠放式洗衣机和烘干机**，通常被称为“**洗衣烘干一体机**”或“**洗衣烘干套装**”。  从图片中可以看到：  - **上部**：一台**滚筒式烘干机**，用于烘干衣物。 - **下部**：一台**滚筒式洗衣机**，用于洗涤衣物。 - 两者都是白色的，设计现代简约，适合小户型或空间有限的住宅。 - 旁边有一个**藤编洗衣篮**和一个**挂式收纳袋**，用于收纳洗衣用品或晾衣。 - 左侧是**百叶窗",spatial,synthetic
76,data/clip_images/zuoyou.png,"左边的是什么",*水壶*,"左边的是一个不锈钢材质的奶缸（或称奶壶），常用于制作咖啡拉花。它具有光滑的金属表面，反射着周围的光线，设计简洁实用，带有把手和倾倒口，适合盛装牛奶或奶油用于咖啡饮品。",spatial,synthetic
77,data/clip_images/wuti.png,"图片主体是什么",*工具箱*,"图片主体是一个**黄色的工具箱**，它被放置在一张布满工具和木屑的工作台上。  这个工具箱： - 有黑色的底部和黄色的盖子； - 带有金属锁扣和把手； - 周围散落着各种工具，如扳手、螺丝刀、卷尺、胶带、电线等； - 工作台表面有木屑和使用痕迹，显示出这是一个正在使用的维修或工作场所。  整体画面给人一种实用、手工作坊或维修工坊的感觉。",edge,synthetic
78,data/clip_images/shibie.png,"图片主体是什么",*一瓶矿泉水*,"图片主体是一瓶透明的塑料矿泉水瓶，瓶盖为白色，瓶身印有“DEMO IMAGE NOT FOR SALE”的字样，背景为浅蓝色。",edge,synthetic
79,data/clip_images/shibie.png,"几瓶水",*一瓶*,"图中只有一瓶水。",count,synthetic
80,data/clip_images/文字识别6.png,"图片中的字是什么颜色",*白色*,"图片中的字是**白色**的。  黑板上的文字（包括“物理课堂”、“牛顿第一定律”、“惯性：物体保持静止或匀速直线运动”、“例题：小车、木块、斜面”）都是用白色粉笔书写的，与深绿色的黑板背景形成鲜明对比，便于阅读。",color_shape,real
